MID,GID_FK,Name,ImgURL,TransImgUrl,PostDate,PostUser
1,2,Unbranded,,NULL,"2015-12-07 13:31:53",1
2,2,KitchenAid,http://www.thehomesourceapp.com/images/ManufLogos/APP/KITCHENAID.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/KITCHENAID.png,"2015-12-07 13:31:53",1
3,2,Jenn-Air,http://www.thehomesourceapp.com/images/ManufLogos/APP/jennair.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Jennair.png,"2015-12-07 13:31:53",1
4,2,Amana,http://www.thehomesourceapp.com/images/ManufLogos/APP/Amana.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Amana.png,"2015-12-07 13:31:53",1
5,2,Electrolux,http://www.thehomesourceapp.com/images/ManufLogos/APP/Electrolux.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Electrolux.png,"2015-12-07 13:31:53",1
6,2,Samsung,http://www.thehomesourceapp.com/images/ManufLogos/APP/Samsung.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Samsung.png,"2015-12-07 13:31:53",1
7,2,Dacor,http://www.thehomesourceapp.com/images/ManufLogos/APP/dacor.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/dacor.png,"2015-12-07 13:31:53",1
8,2,"Magic Chef",http://www.thehomesourceapp.com/images/ManufLogos/APP/MagicChef.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/MagicChef.png,"2015-12-07 13:31:53",1
9,2,Maytag,http://www.thehomesourceapp.com/images/ManufLogos/APP/maytag.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Maytag.png,"2015-12-07 13:31:53",1
10,2,Whirlpool,http://www.thehomesourceapp.com/images/ManufLogos/APP/whirlpool.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/whirlpool.png,"2015-12-07 13:31:53",1
11,2,Gladiator,http://www.thehomesourceapp.com/images/ManufLogos/APP/Gladiator.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Gladiator.png,"2015-12-07 13:31:53",1
12,2,Estate,http://www.thehomesourceapp.com/images/ManufLogos/APP/Estate.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Estate.png,"2015-12-07 13:31:53",1
13,2,Roper,http://www.thehomesourceapp.com/images/ManufLogos/APP/Roper.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Roper.png,"2015-12-07 13:31:53",1
14,2,"Marvel ",http://www.thehomesourceapp.com/images/ManufLogos/APP/Marvel.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Marvel.png,"2015-12-07 13:31:53",1
15,2,Profile,http://www.thehomesourceapp.com/images/ManufLogos/APP/GEPROFILE.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/GEPROFILE.png,"2015-12-07 13:31:53",1
16,2,Monogram,http://www.thehomesourceapp.com/images/ManufLogos/APP/GEmonogram.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/GEmonogram.png,"2015-12-07 13:31:53",1
17,2,Friedrich,https://dzrf1tezfwb3j.cloudfront.net/uploads/images/Friedrich-2017-07-2418-29-14.png,NULL,"2017-07-24 18:29:14",2
18,2,Affresh,http://www.thehomesourceapp.com/images/ManufLogos/APP/Affresh.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Affresh.png,"2015-12-07 13:31:53",1
19,2,Faber,http://www.thehomesourceapp.com/images/ManufLogos/APP/Faber.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Faber.png,"2015-12-07 13:31:53",1
20,2,"Laundry 123",,NULL,"2015-12-07 13:31:53",1
21,2,Bosch,http://www.thehomesourceapp.com/images/ManufLogos/APP/bosch.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/bosch.png,"2015-12-07 13:31:53",1
22,2,"Electrolux ICON",http://www.thehomesourceapp.com/images/ManufLogos/APP/electroluxicon.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Electroluxicon.png,"2015-12-07 13:31:53",1
23,2,Frigidaire,http://www.thehomesourceapp.com/images/ManufLogos/APP/Frigidaire.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Frigidaire.png,"2015-12-07 13:31:53",1
24,2,"Waste King",https://dzrf1tezfwb3j.cloudfront.net/uploads/images/WasteKing-2017-07-2419-52-58.png,NULL,"2017-07-24 19:52:58",2
25,2,GE,http://www.thehomesourceapp.com/images/ManufLogos/APP/GE.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/GEapp.png,"2015-12-07 13:31:53",1
26,2,Hotpoint,http://www.thehomesourceapp.com/images/ManufLogos/APP/Hotpoint.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Hotpoint.png,"2015-12-07 13:31:53",1
27,2,Abbaka,https://dzrf1tezfwb3j.cloudfront.net/uploads/images/abbaka-2017-07-2417-53-33.png,NULL,"2017-07-24 17:53:33",2
28,2,"GE Cafe",http://www.thehomesourceapp.com/images/ManufLogos/APP/gecafe.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/GEcafe.png,"2015-12-07 13:31:53",1
29,2,Eterna,https://dzrf1tezfwb3j.cloudfront.net/uploads/images/Eterna-2017-07-2418-22-04.png,NULL,"2017-07-24 18:22:04",2
30,2,Wolf,http://www.thehomesourceapp.com/images/ManufLogos/APP/Wolf.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Wolf.png,"2015-12-07 13:31:53",1
31,2,Zephyr,http://www.thehomesourceapp.com/images/ManufLogos/APP/Zephyr.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Zephyr.png,"2015-12-07 13:31:53",1
32,2,Liebherr,http://www.thehomesourceapp.com/images/ManufLogos/APP/Liebherr.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Liebherr.png,"2015-12-07 13:31:53",1
33,2,Bertazzoni,http://www.thehomesourceapp.com/images/ManufLogos/APP/bertazzoni.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Bertazzoni.png,"2015-12-07 13:31:53",1
34,2,Vent-A-Hood,http://www.thehomesourceapp.com/images/ManufLogos/APP/VentAHood.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/VentAHood.png,"2015-12-07 13:31:53",1
35,2,Asko,http://www.thehomesourceapp.com/images/ManufLogos/APP/ASKO.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Asko.png,"2015-12-07 13:31:53",1
36,2,"Capital Cooking",http://www.thehomesourceapp.com/images/ManufLogos/APP/capital.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Capital.png,"2015-12-07 13:31:53",1
37,2,U-Line,http://www.thehomesourceapp.com/images/ManufLogos/APP/uline.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/uline.png,"2015-12-07 13:31:53",1
38,2,Admiral,http://www.thehomesourceapp.com/images/ManufLogos/APP/Admiral.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Admiral.png,"2015-12-07 13:31:53",1
39,2,Viking,http://www.thehomesourceapp.com/images/ManufLogos/APP/VIKING.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/VIKING.png,"2015-12-07 13:31:53",1
40,2,Summit,http://www.thehomesourceapp.com/images/ManufLogos/APP/SummitAppliances.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/SummitAppliances.png,"2015-12-07 13:31:53",1
41,2,Avanti,http://www.thehomesourceapp.com/images/ManufLogos/APP/Avanti.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Avanti.png,"2015-12-07 13:31:53",1
42,2,Thermador,http://www.thehomesourceapp.com/images/ManufLogos/APP/Thermador.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Thermador.png,"2015-12-07 13:31:53",1
43,2,LG,http://www.thehomesourceapp.com/images/ManufLogos/APP/LG.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Lg.png,"2015-12-07 13:31:53",1
44,2,"Fisher and Paykel",http://www.thehomesourceapp.com/images/ManufLogos/APP/FisherPaykel.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/FisherPaykel.png,"2015-12-07 13:31:53",1
45,2,DCS,http://www.thehomesourceapp.com/images/ManufLogos/APP/dcs.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/DCS.png,"2015-12-07 13:31:53",1
46,2,"GE Artistry Series",http://www.thehomesourceapp.com/images/ManufLogos/APP/GE.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/GEArtistry.png,"2015-12-07 13:31:53",1
47,2,Haier,https://dzrf1tezfwb3j.cloudfront.net/uploads/images/Haier-2017-07-2418-53-42.png,NULL,"2017-07-24 18:53:42",2
48,2,Miele,http://www.thehomesourceapp.com/images/ManufLogos/APP/Miele.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Miele.png,"2015-12-07 13:31:53",1
49,2,Broan,http://www.thehomesourceapp.com/images/ManufLogos/APP/Broan.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Broan.png,"2015-12-07 13:31:53",1
50,2,Danby,http://www.thehomesourceapp.com/images/ManufLogos/APP/danby.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Danby.png,"2015-12-07 13:31:53",1
51,2,"XO Ventilation",http://www.thehomesourceapp.com/images/ManufLogos/APP/XOVentilation.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/XOVentilation.png,"2015-12-07 13:31:53",1
52,2,Sub-Zero,http://www.thehomesourceapp.com/images/ManufLogos/APP/subzero.jpg,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/subzero.png,"2015-12-07 13:31:53",1
53,2,Lynx,http://www.thehomesourceapp.com/images/ManufLogos/APP/lynx.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Lynx.png,"2015-12-07 13:31:53",1
54,2,Weber,http://www.thehomesourceapp.com/images/ManufLogos/APP/Weber.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Weber.png,"2015-12-07 13:31:53",1
55,2,"Sub Zero",,NULL,"2015-12-07 13:31:53",1
56,2,"Speed Queen",https://dzrf1tezfwb3j.cloudfront.net/uploads/images/SpeedQueen-2017-07-2419-42-28.png,NULL,"2017-07-24 19:42:28",2
57,2,Silhouette,https://dzrf1tezfwb3j.cloudfront.net/uploads/images/Silhouette-2017-07-2419-40-45.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Silhouette.png,"2017-07-24 19:40:46",2
58,2,InSinkerator,https://dzrf1tezfwb3j.cloudfront.net/uploads/images/InSinkerator-2017-07-2419-02-20.png,NULL,"2017-07-24 19:02:20",2
59,2,"Sharp Appliances",https://dzrf1tezfwb3j.cloudfront.net/uploads/images/SHARP-2017-07-2419-38-34.png,NULL,"2017-07-24 19:38:35",2
60,2,Napoleon,https://dzrf1tezfwb3j.cloudfront.net/uploads/images/Napoleon-2017-07-2419-26-29.png,NULL,"2017-07-24 19:26:29",2
61,2,ELBA,https://dzrf1tezfwb3j.cloudfront.net/uploads/images/ELBA-2017-07-2418-12-39.png,NULL,"2017-07-24 18:12:39",2
62,2,Scotsman,https://dzrf1tezfwb3j.cloudfront.net/uploads/images/Scotsman-2017-07-2419-39-22.png,http://www.thehomesourceapp.com/images/ManufLogos/APP/Transparent/Scotsman.png,"2017-07-24 19:39:22",2
63,2,"Chef's Design",,NULL,"2017-06-27 02:47:52",2
64,2,"Smart Choice",,NULL,"2015-12-07 13:31:53",1
